연번,행정구역,안심 주소,위도,경도,CCTV 수량
197,서울특별시 관악구,AD027 1-1R 관악산공원 (인헌동 산 29-4),37.4683,126.9638,1
198,서울특별시 관악구,"AD028 1-1RZ 장군봉근린공원 (청룡동 1531-38, 봉림중학교 후문앞)",37.4816,126.9381,1
199,서울특별시 관악구,"AD029 1-1RZ 낙성대공원 (낙성대동 232-2, 반려견놀이터)",37.4708,126.9592,1
200,서울특별시 관악구,"AD030 1-1RZ 대학동 210, 화장실입구",37.468,126.9455,1
201,서울특별시 관악구,"AD032 1-1R 청룡동 산 151-139, 장군봉 근린공원",37.4796,126.9375,1
202,서울특별시 관악구,"AD033 1-1RZ  남현동 1068-31, 신앙촌상회 앞",37.4753,126.9764,1
203,서울특별시 관악구,"AD034 1-1RZ 미성동 산 191-16, 문성터널 위 등산로길",37.4787,126.9202,1
204,서울특별시 관악구,"AD035 1-1RZ 미성동 산 197-5, 문성터널 차량 출입로쪽 등산로길",37.4784,126.9186,1
205,서울특별시 관악구,"AD036 1-1RZ 미성동 1707-1, 호림박물관 옆 등산로길",37.4801,126.9189,1
206,서울특별시 관악구,AE001 1-1RZ 신원동 산 159-44,37.4762,126.9254,1
207,서울특별시 관악구,AE002 1-1RZ 보라매동 산 104-1,37.4895,126.939,1
208,서울특별시 관악구,AE003 1-1RZ 청룡동 산 149-8,37.4808,126.9357,1
209,서울특별시 관악구,AE004 1-1RZ 삼성동 1714(녹지연결로#01),37.4612,126.9249,1
210,서울특별시 관악구,AE005 1-1RZ 삼성동 1714(녹지연결로#02),37.4614,126.9249,1
211,서울특별시 관악구,AE006 1-1RZ 신사동 498(공원내#01),37.4883,126.9149,1
212,서울특별시 관악구,AE007 1-2RZ 신사동 498(공원내#02),37.4862,126.9114,1
213,서울특별시 관악구,AE007 2-2SZ 신사동 498(공원내#03),37.4862,126.9115,1
214,서울특별시 관악구,AE008 1-3RZ 삼성동 산 57-14 (삼성산성지),37.4568,126.9294,1
215,서울특별시 관악구,AE008 2-3SZ 삼성동 산 57-14 (삼성산성지),37.4567,126.9295,1
216,서울특별시 관악구,AE008 3-3SZ 삼성동 산 57-14 (삼성산성지),37.457,126.9295,1
217,서울특별시 관악구,AE009 1-3RZ 청룡동 산 175-40 (청룡산공원입구),37.4765,126.9509,1
218,서울특별시 관악구,AE009 2-3SZ 청룡동 산 175-40 (청룡산공원입구),37.4765,126.951,1
219,서울특별시 관악구,AE009 3-3SZ 청룡동 산 175-40 (청룡산공원입구),37.4765,126.9509,1
220,서울특별시 관악구,AE010 1-1RZ 난곡동 655-104 (오성어린이공원),37.4679,126.9208,1
221,서울특별시 관악구,AE011 1-1RZ 신사동 501-30 (새빛어린이공원),37.4862,126.9153,1
222,서울특별시 관악구,AE012 1-1RZ 서림동 98-402 (서광어린이공원),37.4753,126.9428,1
223,서울특별시 관악구,AE014 1-1RZ 대학동 1716-1 (목화어린이공원),37.4679,126.9424,1
224,서울특별시 관악구,AF001 1-1R 남현동 1059-13 (남현예술공원),37.4764,126.9801,1
225,서울특별시 관악구,AF002 1-1RZ 남현동 1059-13 (남현예술공원),37.4763,126.9808,1
226,서울특별시 관악구,AF003 1-1RZ 대학동 205-1 일대(관악산 모험숲),37.4623,126.9478,1
227,서울특별시 관악구,AF004 1-1RZ 대학동 205-1 일대(관악산 모험숲),37.4627,126.948,1
228,서울특별시 관악구,AF005 1-1RZ 대학동 205-1 일대(관악산 모험숲),37.4627,126.9485,1
229,서울특별시 관악구,AF006 1-1RZ 대학동 205-1 일대(관악산 모험숲),37.4622,126.9485,1
230,서울특별시 관악구,AF007 1-1RZ 삼성동 산 86-6 (관악도시농업공원),37.4647,126.9276,1
231,서울특별시 관악구,AF008 1-1RZ 삼성동 산 86-6 (관악도시농업공원),37.4641,126.9278,1
232,서울특별시 관악구,AF009 1-1RZ 난곡동 산 132-2 (배수지공원 관악산둘레길),37.4694,126.926,1
233,서울특별시 관악구,AF010 1-1RZ 난곡동 1678-12 (남강고등학교 관악산둘레길),37.4735,126.9247,1
234,서울특별시 관악구,AF011 1-1RZ 조원동 1677-3 (시민의 숲 산책로),37.4848,126.9059,1
235,서울특별시 관악구,AF012 1-1RZ 조원동 1677-4 (시민의 숲 산책로),37.485,126.9069,1
236,서울특별시 관악구,AF013 1-1RZ 성현동 1712-6 (성현드림숲공원),37.4921,126.9517,1
237,서울특별시 관악구,AF014 1-1RZ 남현동 산 64 (관음사 관악산둘레길),37.4685,126.9758,1
238,서울특별시 관악구,AF015 1-1RZ 삼성동 산 58-20 (제2구민운동장 위 산책로),37.4573,126.9332,1
239,서울특별시 관악구,AF016 1-1R 신림 68-4 (산책로입구 보신탕집),37.4652,126.9337,1
240,서울특별시 관악구,AF017 1-1RZ 삼성동 산68-2 (산책로입구 운동기구),37.4635,126.9334,1
241,서울특별시 관악구,AF018 1-1RZ 대학동 산 61-1 (보덕사 앞),37.4621,126.9388,1
242,서울특별시 관악구,AF019 1-1RZ 서원동 산 163-7 (장군봉 산책로),37.4789,126.9371,1
243,서울특별시 관악구,AF020 1-1RZ 낙성대동 산 56-3 (낙성대 구민체육관),37.4761,126.9575,1
244,서울특별시 관악구,AF021 1-4RZ 삼성동 산 57-14 (삼성산성지),37.4576,126.9294,1
245,서울특별시 관악구,AF021 2-4SZ 삼성동 산 57-14 (삼성산성지),37.4577,126.9294,1
246,서울특별시 관악구,AF021 3-4SZ 삼성동 산 57-14 (삼성산성지),37.4576,126.9293,1
247,서울특별시 관악구,AF021 4-4SZ 삼성동 산 57-14 (삼성산성지),37.4575,126.9294,1
248,서울특별시 관악구,AF022 1-3R 청룡동 1538-36 (으뜸어린이공원),37.4782,126.9405,1
249,서울특별시 관악구,AF022 2-3SZ 청룡동 1538-36  (으뜸어린이공원),37.4782,126.9403,1
250,서울특별시 관악구,AF022 3-3SZ 청룡동 1538-36  (으뜸어린이공원),37.4781,126.9405,1
251,서울특별시 관악구,AF023 1-3R 청룡동 1538-25 (으뜸어린이공원),37.4785,126.9411,1
252,서울특별시 관악구,AF023 2-3SZ 청룡동 1538-25 (으뜸어린이공원),37.4786,126.941,1
253,서울특별시 관악구,AF023 3-3SZ 청룡동 1538-25 (으뜸어린이공원),37.4785,126.9411,1
254,서울특별시 관악구,AF024 1-3R 청룡동 1538-20 (으뜸어린이공원),37.4787,126.9414,1
255,서울특별시 관악구,AF024 2-3SZ 청룡동 1538-20 (으뜸어린이공원),37.4788,126.9413,1
256,서울특별시 관악구,AF024 3-3SZ 청룡동 1538-20 (으뜸어린이공원),37.4787,126.9415,1
