name,lat,lng,category,address
잔치집24시,37.51126679,126.9148262,음식점 > 한식,서울 영등포구 도신로54길 3
24시시유동물메디컬센터,37.52000455,126.9698717,"가정,생활 > 반려동물 > 동물병원",서울 용산구 이촌로64길 24
24시무인셀프카페 원효로점,37.53386246,126.9500687,음식점 > 카페,서울 용산구 원효로 51
24시 무인 아이스크림 할인점,37.53506065,126.9712844,"가정,생활 > 슈퍼마켓",서울 용산구 백범로99길 40
백억커피 봉천역점,37.48175154,126.9413479,음식점 > 카페 > 커피전문점 > 백억커피,서울 관악구 장군봉1길 24
과일담은 요거트 맛집 요맛 신림점,37.48768866,126.9304161,음식점 > 카페 > 테마카페 > 디저트카페 > 과일담은요거트맛집요맛,서울 관악구 신림로70길 27
홈인팜스,37.49923702,126.9276765,음식점 > 카페 > 생과일전문점,서울 동작구 여의대방로24길 137
맥도날드 숭실대점,37.4951364,126.9569066,음식점 > 패스트푸드 > 맥도날드,서울 동작구 사당로 22
맥도날드 노량진점,37.5135185,126.9435581,음식점 > 패스트푸드 > 맥도날드,서울 동작구 노량진로 158
맥도날드 중앙대점,37.50613301,126.9589632,음식점 > 패스트푸드 > 맥도날드,서울 동작구 흑석로 84
맥도날드 신림점,37.48197882,126.9301557,음식점 > 패스트푸드 > 맥도날드,서울 관악구 신림로 310
맥도날드 보라매점,37.50025118,126.9200985,음식점 > 패스트푸드 > 맥도날드,서울 영등포구 여의대방로 145
맥도날드 이수점,37.48464234,126.9806464,음식점 > 패스트푸드 > 맥도날드,서울 동작구 사당로 300
맥도날드 영등포점,37.51698279,126.9076753,음식점 > 패스트푸드 > 맥도날드,서울 영등포구 경인로 855
KFC 상도역점,37.50356169,126.9479005,음식점 > 패스트푸드 > KFC,서울 동작구 양녕로 259
KFC 신림역점,37.48241133,126.9302095,음식점 > 패스트푸드 > KFC,서울 관악구 신림로 318
버거킹 신대방삼거리역점,37.49986451,126.9298077,음식점 > 패스트푸드 > 버거킹,서울 동작구 상도로 83
버거킹 당곡역점,37.49059149,126.927072,음식점 > 패스트푸드 > 버거킹,서울 관악구 보라매로 13
버거킹 서울대입구역점,37.48136165,126.9496989,음식점 > 패스트푸드 > 버거킹,서울 관악구 남부순환로 1796
버거킹 신림역점,37.48272123,126.9301324,음식점 > 패스트푸드 > 버거킹,서울 관악구 신림로 318
버거킹 노량진역점,37.51351824,126.9430265,음식점 > 패스트푸드 > 버거킹,서울 동작구 노량진로 154-1
버거킹 낙성대점,37.47665003,126.9637909,음식점 > 패스트푸드 > 버거킹,서울 관악구 남부순환로 1934
버거킹 신길점,37.51260191,126.9171253,음식점 > 패스트푸드 > 버거킹,서울 영등포구 도신로 237
버거킹 신림미림여고입구점,37.47154709,126.9335523,음식점 > 패스트푸드 > 버거킹,서울 관악구 신림로 141
버거킹 사당역점,37.47849938,126.9813998,음식점 > 패스트푸드 > 버거킹,서울 동작구 동작대로 21
버거킹 구로점,37.4824397,126.9006141,음식점 > 패스트푸드 > 버거킹,서울 구로구 시흥대로 551
버거킹 용산이마트점,37.52956127,126.9657746,음식점 > 패스트푸드 > 버거킹,서울 용산구 한강대로23길 55
버거킹 구로전화국사거리점,37.48012404,126.9037975,음식점 > 패스트푸드 > 버거킹,서울 관악구 남부순환로 1377
버거킹 국제점,37.5279905,126.9678117,음식점 > 패스트푸드 > 버거킹,서울 용산구 한강대로 92
버거킹 영등포KT점,37.52711542,126.9053493,음식점 > 패스트푸드 > 버거킹,서울 영등포구 영중로 119
버거킹 금천독산점,37.47102152,126.8978155,음식점 > 패스트푸드 > 버거킹,서울 금천구 시흥대로 421
롯데리아 서울대입구역점,37.48005532,126.9521837,음식점 > 패스트푸드 > 롯데리아,서울 관악구 관악로 165
롯데리아 이수역점,37.48837091,126.9819446,음식점 > 패스트푸드 > 롯데리아,서울 동작구 동작대로 129
